item_id,instrument,alpha,key,is_reverse_keyed,text,construct_reported,text.1,text_norm,is_empty
it_100028,16PF,0.78,1,False,Amuse my friends.,Gregariousness,,,True
it_100029,16PF,0.82,-1,True,Avoid philosophical discussions.,Complexity,,,True
it_100030,16PF,0.84,1,False,Believe in one true religion.,Dutifulness,,,True
it_100031,16PF,0.82,1,False,Believe in the importance of art.,Complexity,,,True
it_100032,16PF,0.84,1,False,Believe laws should be strictly enforced.,Dutifulness,,,True
it_100033,16PF,0.8,-1,True,Believe that others have good intentions.,Distrust,,,True
it_100034,16PF,0.8,-1,True,Believe that people are basically moral.,Distrust,,,True
it_100035,16PF,0.8,1,False,Believe that people are essentially evil.,Distrust,,,True
it_100036,16PF,0.8,1,False,Believe that people seldom tell you the whole truth.,Distrust,,,True
it_100037,16PF,0.86,1,False,Bottle up my feelings.,Reserve,,,True
it_100038,16PF,0.84,-1,True,Break rules.,Dutifulness,,,True
it_100039,16PF,0.81,1,False,Can take strong measures.,Dominance,,,True
it_100040,16PF,0.81,1,False,Can take strong measures.,Assertiveness,,,True
it_100041,16PF,0.73,-1,True,Can't do without the company of others.,Introversion,,,True
it_100042,16PF,0.76,1,False,Can't stand being contradicted.,Emotionality,,,True
it_100043,16PF,0.82,1,False,Carry the conversation to a higher level.,Complexity,,,True
it_100044,16PF,0.8,1,False,Cheer people up.,Warmth,,,True
it_100045,16PF,0.76,-1,True,Consider myself an average person.,Intellect,,,True
it_100046,16PF,0.81,1,False,Continue until everything is perfect.,Orderliness,,,True
it_100047,16PF,0.76,1,False,Counter others' arguments.,Intellect,,,True
it_100048,16PF,0.73,1,False,Cry during movies.,Sensitivity,,,True
it_100049,16PF,0.86,-1,True,Disclose my intimate thoughts.,Reserve,,,True
it_100050,16PF,0.78,-1,True,Dislike loud music.,Gregariousness,,,True
it_100051,16PF,0.85,-1,True,Dislike myself.,Emotional Stability,,,True
it_100052,16PF,0.73,-1,True,Dislike works of fiction.,Sensitivity,,,True
it_100053,16PF,0.8,1,False,Distrust people.,Distrust,,,True
it_100054,16PF,0.73,-1,True,Do not enjoy watching dance performances.,Sensitivity,,,True
it_100055,16PF,0.73,-1,True,Do not like poetry.,Sensitivity,,,True
it_100056,16PF,0.8,-1,True,Do things by the book.,Imagination,,,True
it_100057,16PF,0.8,1,False,Do things that others find strange.,Imagination,,,True
it_100058,16PF,0.8,1,False,Do unexpected things.,Imagination,,,True
it_100059,16PF,0.8,-1,True,Don't let others discourage me.,Anxiety,,,True
it_100060,16PF,0.73,1,False,Don't like action movies.,Sensitivity,,,True
it_100061,16PF,0.78,-1,True,Don't like crowded events.,Gregariousness,,,True
it_100062,16PF,0.8,-1,True,Don't like to get involved in other people's problems.,Warmth,,,True
it_100063,16PF,0.8,1,False,Don't mind being the center of attention.,Friendliness,,,True
it_100064,16PF,0.73,1,False,Don't mind eating alone.,Introversion,,,True
it_100065,16PF,0.86,1,False,Don't talk a lot.,Reserve,,,True
it_100066,16PF,0.8,-1,True,Don't worry about things that have already happened.,Anxiety,,,True
it_100067,16PF,0.73,-1,True,Enjoy being part of a group.,Introversion,,,True
it_100068,16PF,0.78,1,False,Enjoy being part of a loud crowd.,Gregariousness,,,True
it_100069,16PF,0.8,1,False,Enjoy bringing people together.,Warmth,,,True
it_100070,16PF,0.73,1,False,Enjoy discussing movies and books with others.,Sensitivity,,,True
it_100071,16PF,0.82,1,False,Enjoy hearing new ideas.,Complexity,,,True
it_100072,16PF,0.73,1,False,Enjoy my privacy.,Introversion,,,True
it_100073,16PF,0.73,1,False,Enjoy silence.,Introversion,,,True
it_100074,16PF,0.73,1,False,Enjoy spending time by myself.,Introversion,,,True
it_100075,16PF,0.73,-1,True,Enjoy teamwork.,Introversion,,,True
it_100076,16PF,0.8,1,False,Enjoy wild flights of fantasy.,Imagination,,,True
it_100077,16PF,0.8,1,False,Feel comfortable around people.,Friendliness,,,True
it_100078,16PF,0.85,1,False,Feel comfortable with myself.,Emotional Stability,,,True
it_100079,16PF,0.8,1,False,Feel crushed by setbacks.,Anxiety,,,True
it_100080,16PF,0.85,-1,True,Feel desperate.,Emotional Stability,,,True
it_100081,16PF,0.8,1,False,"Feel guilty when I say ""no.""",Anxiety,,,True
it_100082,16PF,0.8,1,False,Feel others' emotions.,Warmth,,,True
it_100083,16PF,0.8,1,False,Feel threatened easily.,Anxiety,,,True
it_100084,16PF,0.8,-1,True,Find it difficult to approach others.,Friendliness,,,True
it_100085,16PF,0.8,1,False,Find it hard to forgive others.,Distrust,,,True
it_100086,16PF,0.76,1,False,Get angry easily.,Emotionality,,,True
it_100087,16PF,0.81,1,False,Get chores done right away.,Orderliness,,,True
it_100088,16PF,0.76,-1,True,Get confused easily.,Intellect,,,True
it_100089,16PF,0.76,1,False,Get irritated easily.,Emotionality,,,True
it_100090,16PF,0.76,-1,True,Have a good word for everyone.,Emotionality,,,True
it_100091,16PF,0.76,-1,True,Have a poor vocabulary.,Intellect,,,True
it_100092,16PF,0.85,-1,True,Have frequent mood swings.,Emotional Stability,,,True
it_100093,16PF,0.8,-1,True,Have little to say.,Friendliness,,,True
it_100094,16PF,0.78,1,False,Joke around a lot.,Gregariousness,,,True
it_100095,16PF,0.76,1,False,Judge people by their appearance.,Emotionality,,,True
it_100096,16PF,0.8,-1,True,Keep in the background.,Friendliness,,,True
it_100097,16PF,0.86,1,False,Keep my thoughts to myself.,Reserve,,,True
it_100098,16PF,0.8,1,False,Know how to comfort others.,Warmth,,,True
it_100099,16PF,0.84,-1,True,Know how to get around the rules.,Dutifulness,,,True
it_100100,16PF,0.76,-1,True,Know that I am not a special person.,Intellect,,,True
it_100101,16PF,0.76,1,False,Know the answers to many questions.,Intellect,,,True
it_100102,16PF,0.76,1,False,Learn quickly.,Intellect,,,True
it_100103,16PF,0.81,-1,True,Leave a mess in my room.,Orderliness,,,True
it_100104,16PF,0.81,-1,True,Leave my belongings around.,Orderliness,,,True
it_100105,16PF,0.81,-1,True,Let myself be pushed around.,Dominance,,,True
it_100106,16PF,0.81,-1,True,Let myself be pushed around.,Assertiveness,,,True
it_100107,16PF,0.81,-1,True,Let others make the decisions.,Dominance,,,True
it_100108,16PF,0.81,-1,True,Let others make the decisions.,Assertiveness,,,True
it_100109,16PF,0.81,1,False,Like order.,Orderliness,,,True
it_100110,16PF,0.8,1,False,Like to get lost in thought.,Imagination,,,True
it_100111,16PF,0.73,1,False,Like to read.,Sensitivity,,,True
it_100112,16PF,0.84,1,False,Like to stand during the national anthem.,Dutifulness,,,True
it_100113,16PF,0.73,1,False,Love flowers.,Sensitivity,,,True
it_100114,16PF,0.78,1,False,Love large parties.,Gregariousness,,,True
it_100115,16PF,0.8,1,False,Love to daydream.,Imagination,,,True
it_100116,16PF,0.82,1,False,Love to think up new ways of doing things.,Complexity,,,True
it_100117,16PF,0.8,1,False,Make friends easily.,Friendliness,,,True
it_100118,16PF,0.76,1,False,Make insightful remarks.,Intellect,,,True
it_100119,16PF,0.8,1,False,Make people feel at ease.,Warmth,,,True
it_100120,16PF,0.81,-1,True,Never challenge things.,Dominance,,,True
it_100121,16PF,0.81,-1,True,Never challenge things.,Assertiveness,,,True
it_100122,16PF,0.85,-1,True,Often feel blue.,Emotional Stability,,,True
it_100123,16PF,0.8,-1,True,Often feel uncomfortable around others.,Friendliness,,,True
it_100124,16PF,0.84,-1,True,Oppose authority.,Dutifulness,,,True
it_100125,16PF,0.73,1,False,Prefer to do things by myself.,Introversion,,,True
it_100126,16PF,0.82,1,False,Prefer variety to routine.,Complexity,,,True
it_100127,16PF,0.81,-1,True,Put off unpleasant tasks.,Orderliness,,,True
it_100128,16PF,0.82,-1,True,Rarely look for a deeper meaning in things.,Complexity,,,True
it_100129,16PF,0.73,-1,True,Rarely notice my emotional reactions.,Sensitivity,,,True
it_100130,16PF,0.73,1,False,Read a lot.,Sensitivity,,,True
it_100131,16PF,0.85,1,False,Readily overcome setbacks.,Emotional Stability,,,True
it_100132,16PF,0.76,1,False,Reflect on things before acting.,Intellect,,,True
it_100133,16PF,0.84,-1,True,Resist authority.,Dutifulness,,,True
it_100134,16PF,0.84,1,False,Respect authority.,Dutifulness,,,True
it_100135,16PF,0.86,1,False,Reveal little about myself.,Reserve,,,True
it_100136,16PF,0.81,1,False,Say what I think.,Dominance,,,True
it_100137,16PF,0.81,1,False,Say what I think.,Assertiveness,,,True
it_100138,16PF,0.73,1,False,Seek quiet.,Introversion,,,True
it_100139,16PF,0.8,-1,True,Seldom daydream.,Imagination,,,True
it_100140,16PF,0.85,1,False,Seldom feel blue.,Emotional Stability,,,True
it_100141,16PF,0.8,-1,True,Seldom get lost in thought.,Imagination,,,True
it_100142,16PF,0.78,-1,True,Seldom joke around.,Gregariousness,,,True
it_100143,16PF,0.86,-1,True,Show my feelings.,Reserve,,,True
it_100144,16PF,0.76,-1,True,Skip difficult words while reading.,Intellect,,,True
it_100145,16PF,0.8,1,False,Spend time thinking about past mistakes.,Anxiety,,,True
it_100146,16PF,0.8,1,False,Start conversations.,Friendliness,,,True
it_100147,16PF,0.8,1,False,Suspect hidden motives in others.,Distrust,,,True
it_100148,16PF,0.8,1,False,Swim against the current.,Imagination,,,True
it_100149,16PF,0.8,1,False,Take an interest in other people's lives.,Warmth,,,True
it_100150,16PF,0.81,1,False,Take charge.,Dominance,,,True
it_100151,16PF,0.81,1,False,Take charge.,Assertiveness,,,True
it_100152,16PF,0.81,1,False,Take control of things.,Dominance,,,True
it_100153,16PF,0.81,1,False,Take control of things.,Assertiveness,,,True
it_100154,16PF,0.8,1,False,Take deviant positions.,Imagination,,,True
it_100155,16PF,0.8,1,False,Take time out for others.,Warmth,,,True
it_100156,16PF,0.8,1,False,Talk to a lot of different people at parties.,Friendliness,,,True
it_100157,16PF,0.76,1,False,Tend to analyze things.,Intellect,,,True
it_100158,16PF,0.8,-1,True,Trust others.,Distrust,,,True
it_100159,16PF,0.8,-1,True,Trust what people say.,Distrust,,,True
it_100160,16PF,0.8,-1,True,Try not to think about the needy.,Warmth,,,True
it_100161,16PF,0.82,-1,True,Try to avoid complex people.,Complexity,,,True
it_100162,16PF,0.84,1,False,Try to follow the rules.,Dutifulness,,,True
it_100163,16PF,0.76,-1,True,Try to forgive and forget.,Emotionality,,,True
it_100164,16PF,0.76,1,False,Use my brain.,Intellect,,,True
it_100165,16PF,0.84,-1,True,Use swear words.,Dutifulness,,,True
it_100166,16PF,0.81,-1,True,Wait for others to lead the way.,Dominance,,,True
it_100167,16PF,0.81,-1,True,Wait for others to lead the way.,Assertiveness,,,True
it_100168,16PF,0.81,1,False,Want to be in charge.,Dominance,,,True
it_100169,16PF,0.81,1,False,Want to be in charge.,Assertiveness,,,True
it_100170,16PF,0.73,1,False,Want to be left alone.,Introversion,,,True
it_100171,16PF,0.76,1,False,Weigh the pros against the cons.,Intellect,,,True
it_100172,16PF,0.8,1,False,Worry about things.,Anxiety,,,True
it_100173,6FPQ,0.73,1,False,Accept people as they are.,Agreeableness,,,True
it_100174,6FPQ,0.82,1,False,Accomplish a lot of work.,Achievement-striving,,,True
it_100175,6FPQ,0.76,-1,True,Act quickly without thinking.,Deliberateness,,,True
it_100176,6FPQ,0.73,1,False,Act wild and crazy.,Humor/Playfulness,,,True
it_100177,6FPQ,0.59,1,False,Act without consulting others.,Self-Sufficiency,,,True
it_100178,6FPQ,0.78,-1,True,Act without planning.,Methodicalness,,,True
it_100179,6FPQ,0.67,1,False,Adapt easily to new situations.,Adaptability,,,True
it_100180,6FPQ,0.67,-1,True,Am a bad loser.,Adaptability,,,True
it_100181,6FPQ,0.7,-1,True,Am a creature of habit.,Adventurousness,,,True
it_100182,6FPQ,0.75,1,False,Am always busy.,Industriousness/Perseverance/Persistence,,,True
it_100183,6FPQ,0.78,1,False,Am always prepared.,Methodicalness,,,True
it_100184,6FPQ,0.73,-1,True,Am annoyed by others' mistakes.,Agreeableness,,,True
it_100185,6FPQ,0.7,-1,True,Am attached to conventional ways.,Adventurousness,,,True
it_100186,6FPQ,0.81,-1,True,Am continually losing things.,Orderliness,,,True
it_100187,6FPQ,0.59,-1,True,Am easily moved to tears.,Self-Sufficiency,,,True
it_100188,6FPQ,0.73,-1,True,Am easily offended.,Agreeableness,,,True
it_100189,6FPQ,0.78,1,False,Am exacting in my work.,Methodicalness,,,True
it_100190,6FPQ,0.85,1,False,Am good at making impromptu speeches.,Extraversion,,,True
it_100191,6FPQ,0.81,1,False,Am good at many things.,Resourcefulness,,,True
it_100192,6FPQ,0.67,1,False,Am good at taking advice.,Adaptability,,,True
it_100193,6FPQ,0.87,-1,True,Am hard to get to know.,Gregariousness,,,True
it_100194,6FPQ,0.73,1,False,Am inclined to forgive others.,Agreeableness,,,True
it_100195,6FPQ,0.8,1,False,Am interested in many things.,Intellectual Openness,,,True
it_100196,6FPQ,0.83,1,False,Am likely to show off if I get the chance.,Exhibitionism,,,True
it_100197,6FPQ,0.78,-1,True,Am not bothered by disorder.,Methodicalness,,,True
it_100198,6FPQ,0.74,1,False,Am not concerned with making a good impression.,Unpretentiousness,,,True
it_100199,6FPQ,0.73,1,False,Am not disturbed by events.,Agreeableness,,,True
it_100200,6FPQ,0.87,1,False,Am not easily annoyed.,Calmness,,,True
it_100201,6FPQ,0.85,-1,True,Am not good at getting people to like me.,Extraversion,,,True
it_100202,6FPQ,0.83,-1,True,Am not good at telling jokes.,Exhibitionism,,,True
it_100203,6FPQ,0.85,-1,True,Am not highly motivated to succeed.,Leadership,,,True
it_100204,6FPQ,0.8,-1,True,Am not interested in abstract ideas.,Intellectual Openness,,,True
it_100205,6FPQ,0.8,-1,True,Am not interested in theoretical discussions.,Intellectual Openness,,,True
it_100206,6FPQ,0.8,1,False,Am open to change.,Intellectual Openness,,,True
it_100207,6FPQ,0.73,1,False,Am relaxed most of the time.,Humor/Playfulness,,,True
it_100208,6FPQ,0.85,1,False,Am skilled in handling social situations.,Extraversion,,,True
it_100209,6FPQ,0.83,1,False,Am the life of the party.,Exhibitionism,,,True
it_100210,6FPQ,0.75,1,False,Am under constant pressure.,Industriousness/Perseverance/Persistence,,,True
it_100211,6FPQ,0.73,1,False,Am willing to try anything once.,Humor/Playfulness,,,True
it_100212,6FPQ,0.83,1,False,Amuse my friends.,Exhibitionism,,,True
it_100213,6FPQ,0.87,-1,True,Avoid company.,Gregariousness,,,True
it_100214,6FPQ,0.87,-1,True,Avoid contacts with others.,Gregariousness,,,True
it_100215,6FPQ,0.82,-1,True,Avoid difficult reading material.,Comprehension,,,True
it_100216,6FPQ,0.82,-1,True,Avoid philosophical discussions.,Comprehension,,,True
it_100217,6FPQ,0.69,-1,True,Believe appearances are important.,Independence,,,True
it_100218,6FPQ,0.8,1,False,Believe in the importance of art.,Culture,,,True
it_100219,6FPQ,0.59,1,False,Believe that events in my life are determined only by me.,Self-Sufficiency,,,True
it_100220,6FPQ,0.8,-1,True,Believe that too much tax money goes to support artists.,Culture,,,True
it_100221,6FPQ,0.81,1,False,Can handle a lot of information.,Resourcefulness,,,True
it_100222,6FPQ,0.81,1,False,Can manage many things at the same time.,Resourcefulness,,,True
it_100223,6FPQ,0.81,-1,True,Can never find anything.,Orderliness,,,True
it_100224,6FPQ,0.81,1,False,Can perform a wide variety of tasks.,Resourcefulness,,,True
it_100225,6FPQ,0.67,1,False,Can stand criticism.,Adaptability,,,True
it_100226,6FPQ,0.81,1,False,Can tackle anything.,Resourcefulness,,,True
it_100227,6FPQ,0.85,1,False,Can talk others into doing things.,Extraversion,,,True
it_100228,6FPQ,0.81,1,False,Can work under pressure.,Resourcefulness,,,True
it_100229,6FPQ,0.66,-1,True,Can't do without the company of others.,Reclusiveness,,,True
it_100230,6FPQ,0.67,-1,True,Can't stand being contradicted.,Adaptability,,,True
it_100231,6FPQ,0.8,1,False,Carry the conversation to a higher level.,Intellectual Openness,,,True
it_100232,6FPQ,0.74,-1,True,Change myself to suit others.,Unpretentiousness,,,True
it_100233,6FPQ,0.76,1,False,Choose my words with care.,Deliberateness,,,True
it_100234,6FPQ,0.75,1,False,Complete tasks successfully.,Industriousness/Perseverance/Persistence,,,True
it_100235,6FPQ,0.66,1,False,Dislike being complimented.,Reclusiveness,,,True
it_100236,6FPQ,0.7,-1,True,Dislike changes.,Adventurousness,,,True
it_100237,6FPQ,0.85,-1,True,Dislike having authority over others.,Leadership,,,True
it_100238,6FPQ,0.61,1,False,Dislike loud music.,Conservatism,,,True
it_100239,6FPQ,0.85,-1,True,Dislike taking responsibility for making decisions.,Leadership,,,True
it_100240,6FPQ,0.7,-1,True,Dislike the unknown.,Adventurousness,,,True
it_100241,6FPQ,0.82,1,False,Do a lot in my spare time.,Achievement-striving,,,True
it_100242,6FPQ,0.82,-1,True,Do just enough work to get by.,Achievement-striving,,,True
it_100243,6FPQ,0.82,1,False,Do more than what's expected of me.,Achievement-striving,,,True
it_100244,6FPQ,0.8,-1,True,Do not enjoy going to art museums.,Culture,,,True
it_100245,6FPQ,0.8,-1,True,Do not enjoy watching dance performances.,Culture,,,True
it_100246,6FPQ,0.8,-1,True,Do not like concerts.,Culture,,,True
it_100247,6FPQ,0.8,-1,True,Do not like poetry.,Culture,,,True
it_100248,6FPQ,0.59,1,False,Do things men traditionally do.,Self-Sufficiency,,,True
it_100249,6FPQ,0.59,1,False,Do things my own way.,Self-Sufficiency,,,True
it_100250,6FPQ,0.81,1,False,Do unpleasant tasks immediately.,Orderliness,,,True
it_100251,6FPQ,0.69,1,False,Don't care about dressing nicely.,Independence,,,True
it_100252,6FPQ,0.61,-1,True,Don't care about rules.,Conservatism,,,True
it_100253,6FPQ,0.69,1,False,Don't care what others think.,Independence,,,True
it_100254,6FPQ,0.74,1,False,Don't care whether I'm considered special.,Unpretentiousness,,,True
it_100255,6FPQ,0.76,-1,True,Don't know why I do some of the things I do.,Deliberateness,,,True
it_100256,6FPQ,0.7,-1,True,Don't let others take credit for my work.,Docility,,,True
it_100257,6FPQ,0.66,-1,True,Don't like being away from civilization.,Reclusiveness,,,True
it_100258,6FPQ,0.83,-1,True,Don't like to draw attention to myself.,Exhibitionism,,,True
it_100259,6FPQ,0.7,-1,True,Don't like to travel.,Adventurousness,,,True
it_100260,6FPQ,0.83,1,False,Don't mind being the center of attention.,Exhibitionism,,,True
it_100261,6FPQ,0.81,-1,True,Don't pay attention.,Resourcefulness,,,True
it_100262,6FPQ,0.67,-1,True,Don't tolerate critics.,Adaptability,,,True
it_100263,6FPQ,0.76,1,False,Easily resist temptations.,Deliberateness,,,True
it_100264,6FPQ,0.73,1,False,Enjoy being reckless.,Humor/Playfulness,,,True
it_100265,6FPQ,0.82,1,False,Enjoy discussing movies and books with others.,Comprehension,,,True
it_100266,6FPQ,0.8,1,False,Enjoy hearing new ideas.,Culture,,,True
it_100267,6FPQ,0.66,1,False,Enjoy spending time by myself.,Reclusiveness,,,True
it_100268,6FPQ,0.82,1,False,Excel in what I do.,Achievement-striving,,,True
it_100269,6FPQ,0.73,1,False,Express childlike joy.,Humor/Playfulness,,,True
it_100270,6FPQ,0.85,1,False,Express myself easily.,Extraversion,,,True
it_100271,6FPQ,0.87,1,False,Feel comfortable around people.,Gregariousness,,,True
it_100272,6FPQ,0.69,1,False,Feel it's OK that some people don't like me.,Independence,,,True
it_100273,6FPQ,0.75,-1,True,Feel that work is not an important part of my life.,Industriousness/Perseverance/Persistence,,,True
it_100274,6FPQ,0.85,-1,True,Find it difficult to approach others.,Extraversion,,,True
it_100275,6FPQ,0.82,-1,True,Find it difficult to get down to work.,Achievement-striving,,,True
it_100276,6FPQ,0.85,1,False,Find it easy to manipulate others.,Leadership,,,True
it_100277,6FPQ,0.82,1,False,Find political discussions interesting.,Comprehension,,,True
it_100278,6FPQ,0.87,-1,True,Get angry easily.,Calmness,,,True
it_100279,6FPQ,0.73,-1,True,Get back at others.,Agreeableness,,,True
it_100280,6FPQ,0.8,1,False,Get excited by new ideas.,Culture,,,True
it_100281,6FPQ,0.87,-1,True,Get irritated easily.,Calmness,,,True
it_100282,6FPQ,0.87,-1,True,Get upset easily.,Calmness,,,True
it_100283,6FPQ,0.81,-1,True,Give up easily.,Resourcefulness,,,True
it_100284,6FPQ,0.66,1,False,Go my own way.,Reclusiveness,,,True
it_100285,6FPQ,0.82,-1,True,Hang around doing nothing.,Achievement-striving,,,True
it_100286,6FPQ,0.73,1,False,Have a lot of fun.,Humor/Playfulness,,,True
it_100287,6FPQ,0.85,1,False,Have a natural talent for influencing people.,Extraversion,,,True
it_100288,6FPQ,0.82,-1,True,Have a poor vocabulary.,Comprehension,,,True
it_100289,6FPQ,0.82,1,False,Have a rich vocabulary.,Comprehension,,,True
it_100290,6FPQ,0.75,-1,True,Have a slow pace to my life.,Industriousness/Perseverance/Persistence,,,True
it_100291,6FPQ,0.85,1,False,Have a strong need for power.,Leadership,,,True
it_100292,6FPQ,0.7,1,False,Have already gotten more than I deserve.,Docility,,,True
it_100293,6FPQ,0.81,1,False,Have an eye for detail.,Orderliness,,,True
it_100294,6FPQ,0.75,-1,True,Have extra time on my hands.,Industriousness/Perseverance/Persistence,,,True
it_100295,6FPQ,0.83,-1,True,Have little to say.,Exhibitionism,,,True
it_100296,6FPQ,0.61,1,False,Have no sympathy for criminals.,Conservatism,,,True
it_100297,6FPQ,0.73,1,False,Have time for play and relaxation.,Humor/Playfulness,,,True
it_100298,6FPQ,0.75,1,False,Have too many things to do.,Industriousness/Perseverance/Persistence,,,True
it_100299,6FPQ,0.73,-1,True,Hold a grudge.,Agreeableness,,,True
it_100300,6FPQ,0.74,-1,True,Judge people by their appearance.,Unpretentiousness,,,True
it_100301,6FPQ,0.76,-1,True,Jump into things without thinking.,Deliberateness,,,True
it_100302,6FPQ,0.85,-1,True,Keep in the background.,Extraversion,,,True
it_100303,6FPQ,0.66,-1,True,Keep my hair fashionable.,Reclusiveness,,,True
it_100304,6FPQ,0.66,-1,True,Keep myself well-groomed.,Reclusiveness,,,True
it_100305,6FPQ,0.87,-1,True,Keep others at a distance.,Gregariousness,,,True
it_100306,6FPQ,0.73,1,False,Know how to enjoy myself.,Humor/Playfulness,,,True
it_100307,6FPQ,0.85,-1,True,Lack the talent for influencing people.,Extraversion,,,True
it_100308,6FPQ,0.78,-1,True,Leave things unfinished.,Methodicalness,,,True
it_100309,6FPQ,0.59,-1,True,Let myself be directed by others.,Self-Sufficiency,,,True
it_100310,6FPQ,0.7,1,False,Let myself be used.,Docility,,,True
it_100311,6FPQ,0.73,1,False,Let myself go.,Humor/Playfulness,,,True
it_100312,6FPQ,0.7,1,False,Let other people take the credit for my work.,Docility,,,True
it_100313,6FPQ,0.61,-1,True,Let others down.,Conservatism,,,True
it_100314,6FPQ,0.7,1,False,Let people push me around to help them feel important.,Docility,,,True
it_100315,6FPQ,0.85,1,False,Like having authority over others.,Leadership,,,True
it_100316,6FPQ,0.8,1,False,Like music.,Culture,,,True
it_100317,6FPQ,0.78,1,False,Like order.,Methodicalness,,,True
it_100318,6FPQ,0.76,-1,True,Like to act on a whim.,Deliberateness,,,True
it_100319,6FPQ,0.83,1,False,Like to attract attention.,Exhibitionism,,,True
it_100320,6FPQ,0.66,1,False,Like to be alone.,Reclusiveness,,,True
it_100321,6FPQ,0.61,1,False,Like to follow a regular schedule.,Conservatism,,,True
it_100322,6FPQ,0.82,1,False,Like to read.,Comprehension,,,True
it_100323,6FPQ,0.81,1,False,Like to solve complex problems.,Resourcefulness,,,True
it_100324,6FPQ,0.81,1,False,Like to tidy up.,Orderliness,,,True
it_100325,6FPQ,0.7,1,False,Like to visit new places.,Adventurousness,,,True
it_100326,6FPQ,0.66,1,False,Live in a world of my own.,Reclusiveness,,,True
it_100327,6FPQ,0.87,-1,True,Lose my temper.,Calmness,,,True
it_100328,6FPQ,0.73,1,False,Love excitement.,Humor/Playfulness,,,True
it_100329,6FPQ,0.69,-1,True,Love to be complimented.,Independence,,,True
it_100330,6FPQ,0.8,1,False,Love to learn new things.,Culture,,,True
it_100331,6FPQ,0.82,1,False,Love to read challenging material.,Comprehension,,,True
it_100332,6FPQ,0.78,-1,True,Make a mess of things.,Methodicalness,,,True
it_100333,6FPQ,0.59,1,False,Make decisions quickly.,Self-Sufficiency,,,True
it_100334,6FPQ,0.87,1,False,Make friends easily.,Gregariousness,,,True
it_100335,6FPQ,0.76,-1,True,Make rash decisions.,Deliberateness,,,True
it_100336,6FPQ,0.78,-1,True,Mess things up.,Methodicalness,,,True
it_100337,6FPQ,0.82,-1,True,Need a push to get started.,Achievement-striving,,,True
it_100338,6FPQ,0.59,-1,True,Need protection.,Self-Sufficiency,,,True
it_100339,6FPQ,0.69,-1,True,Need reassurance.,Independence,,,True
it_100340,6FPQ,0.69,-1,True,Need the approval of others.,Independence,,,True
it_100341,6FPQ,0.81,1,False,Need things explained only once.,Resourcefulness,,,True
it_100342,6FPQ,0.87,-1,True,Often feel uncomfortable around others.,Gregariousness,,,True
it_100343,6FPQ,0.81,1,False,Often forget to put things back in their proper place.,Orderliness,,,True
it_100344,6FPQ,0.59,-1,True,Often need help.,Self-Sufficiency,,,True
it_100345,6FPQ,0.61,-1,True,Oppose authority.,Conservatism,,,True
it_100346,6FPQ,0.78,1,False,Pay attention to details.,Methodicalness,,,True
it_100347,6FPQ,0.82,1,False,Plunge into tasks with all my heart.,Achievement-striving,,,True
it_100348,6FPQ,0.66,1,False,Prefer to do things by myself.,Reclusiveness,,,True
it_100349,6FPQ,0.8,-1,True,Prefer to stick with things that I know.,Intellectual Openness,,,True
it_100350,6FPQ,0.8,1,False,Prefer variety to routine.,Intellectual Openness,,,True
